"filename", "language", "PHP", "JavaScript", "Markdown", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\seguimientos\partials\form-seguimiento.blade.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 6, 95
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\seguimientos\partials\linea-tiempo.blade.php", "PHP", 118, 0, 0, 0, 0, 0, 0, 9, 127
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\seguimientos\partials\tabla-seguimientos.blade.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 3, 102
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\seguimientos\show.blade.php", "PHP", 370, 0, 0, 0, 0, 0, 0, 12, 382
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\usuarios\create.blade.php", "PHP", 246, 0, 0, 0, 0, 0, 8, 29, 283
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\usuarios\edit.blade.php", "PHP", 263, 0, 0, 0, 0, 0, 4, 26, 293
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\usuarios\index.blade.php", "PHP", 236, 0, 0, 0, 0, 0, 2, 18, 256
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\usuarios\show.blade.php", "PHP", 141, 0, 0, 0, 0, 0, 0, 14, 155
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\welcome.blade.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\routes\web.php", "PHP", 101, 0, 0, 0, 0, 0, 11, 37, 149
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\tests\Feature\ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\tests\TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 3, 4, 17
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\vite.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 8884, 231, 797, 372, 11118, 34, 1104, 1476, 24016
